28843	1	16	N		개인1	1	2	3	개인|개인연락처^	[직급] 사원
28843	2	28847	D	N	이름1	010-1234-5678			직원|울주군청|기획예산실^	[개인분류1] 분류1^[개인분류2] A
28843	3	28849	P	N	이름1	010-1234-5678			개인|울주군청|기획예산실^	[개인분류1] 분류1^[개인분류2] A
28843	4	28851	P	N	이름1	010-1234-5678			개인|울주군청|기획예산실^	[개인분류1] 분류1^[개인분류2] A
28843	5	28829	D	N	이름1	010-1234-5678				
28843	6	28831	P	N	이름1	010-1234-5678				
28843	7	28833	D	N	이름1	010-1234-5678				
28843	8	28835	D	N	이름1	010-1234-5678				
28843	9	28837	D	N	이름1	010-1234-5678				
28843	10	28839	D	N	이름1	010-1234-5678			직원|울주군청|기획예산실^	
28843	11	28841	D	N	이름1	010-1234-5678			직원|울주군청|기획예산실^	
28843	12	28843	D	N	이름1	010-1234-5678			직원|울주군청|기획예산실^	
28843	13	28845	D	N	이름1	010-1234-5678			직원|울주군청|기획예산실^	[개인분류1] 분류1^[개인분류2] A
28843	14	28846	D	N	이름2	010-1234-5679			직원|개인그룹2|기획예산실|의회법무^	[개인분류1] 분류1^[개인분류2] B
28843	15	28844	D	N	이름2	010-1234-5679			직원|개인그룹2|기획예산실|의회법무^	
28843	16	28842	D	N	이름2	010-1234-5679			직원|개인그룹2|기획예산실|의회법무^	
28843	17	28840	D	N	이름2	010-1234-5679			직원|개인그룹2|기획예산실|의회법무^	
28843	18	28838	D	N	이름2	010-1234-5679				
28843	19	28836	D	N	이름2	010-1234-5679				
28843	20	28834	D	N	이름2	010-1234-5679				
28843	21	28832	P	N	이름2	010-1234-5679				
28843	22	28830	D	N	이름2	010-1234-5679				
28843	23	28852	P	N	이름2	010-1234-5679			개인|개인그룹2|기획예산실|의회법무^	[개인분류1] 분류1^[개인분류2] B
28843	24	28850	P	N	이름2	010-1234-5679			개인|개인그룹2|기획예산실|의회법무^	[개인분류1] 분류1^[개인분류2] B
28843	25	28848	D	N	이름2	010-1234-5679			직원|개인그룹2|기획예산실|의회법무^	[개인분류1] 분류1^[개인분류2] B
28843	26	28828	N		테스트	010-1111-2222	11	22		
28843	27	10	N		ADDR1	777			직원|울주군청|기획예산실^개인|개인연락처^	[발령순위] 4순위^[재직상태] 재직^[직위] 부군수
28843	28	25	N		ADDR10				직원|울주군청|기획예산실|기획|test2^개인|개인연락처^	
28843	29	115	N		ADDR100					[발령순위] 2순위^[직급] 과장
28843	30	1015	N		ADDR1000					[직급] 대리
28843	31	10015	D		ADDR10000					
28843	32	10016	D		ADDR10001					
28843	33	10017	D		ADDR10002					
28843	34	10018	D		ADDR10003					
28843	35	10019	D		ADDR10004					
28843	36	10020	D		ADDR10005					
28843	37	10021	D		ADDR10006					
28843	38	10022	D		ADDR10007					
28843	39	10023	D		ADDR10008					
28843	40	10024	D		ADDR10009					
