* 구분기호(탭)으로 분리된 CSV 파일입니다.
부서(그룹)1	부서(그룹)2	부서(그룹)3	부서(그룹)4	부서(그룹)5	이름	휴대폰	사무실전화	기타전화	메모	분류코드	
개인연락처					개인1	1234			4	직급>사원	
개인연락처					이름1	01012345678			memo1		
개인연락처					이름1	01012345678			memo1		
개인연락처					이름1	01012345678			memo1		
개인연락처					이름1	01012345678			memo1		
개인연락처					이름1	01012345678			memo1		
울주군청	기획예산실				이름1	01012345678			memo1		
울주군청	기획예산실				이름1	01012345678			memo1		
울주군청	기획예산실				이름1	01012345678			memo1		
울주군청	기획예산실				이름1	01012345678			memo1	개인분류1>분류1^개인분류2>A	
울주군청	기획예산실				이름1	01012345678			memo1	개인분류1>분류1^개인분류2>A	
울주군청	기획예산실				이름1	01012345678			memo1	개인분류1>분류1^개인분류2>A	
울주군청	기획예산실				이름1	01012345678			memo1	개인분류1>분류1^개인분류2>A	
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2	개인분류1>분류1^개인분류2>B	
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2	개인분류1>분류1^개인분류2>B	
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2	개인분류1>분류1^개인분류2>B	
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2	개인분류1>분류1^개인분류2>B	
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			이름2	01012345678			memo2		
개인그룹2	기획예산실	의회법무			테스트	01012345678			33		
개인그룹2	기획예산실	의회법무			홍길동	01012345678					
개인그룹2	기획예산실	의회법무			홍길동	01012345678					
울주군청	기획예산실	의회법무			ADDR1	01012345678				발령순위>4순위^재직상태>재직^직위>부군수	
울주군청	기획예산실	기획	test2		ADDR10	01012345678					
울주군청	기획예산실	기획	test2		ADDR100	01012345678				발령순위>2순위^직급>과장	
울주군청	기획예산실	기획	test2		ADDR1000	01012345678				직급>대리	
울주군청	기획예산실	기획	test2		ADDR10000	01012345678					
울주군청	기획예산실	기획	test2		ADDR10001	01012345678					
울주군청	기획예산실	기획	test2		ADDR10002	01012345678					
울주군청	기획예산실	기획	test2		ADDR10003	01012345678					
울주군청	기획예산실	기획	test2		ADDR10004	01012345678					
울주군청	기획예산실	기획	test2		ADDR10005	01012345678					
울주군청	기획예산실	기획	test2		ADDR10006	01012345678					
울주군청	기획예산실	기획	test2		ADDR10007	01012345678					
울주군청	기획예산실	기획	test2		ADDR10008	01012345678					
울주군청	기획예산실	기획	test2		ADDR10009	01012345678					
울주군청	기획예산실	기획	test2		ADDR1001	01012345678					
울주군청	기획예산실	기획	test2		ADDR10010	01012345678					
울주군청	기획예산실	기획	test2		ADDR10011	01012345678					
울주군청	기획예산실	기획	test2		ADDR10012	01012345678					
울주군청	기획예산실	기획	test2		ADDR10013	01012345678					
울주군청	기획예산실	기획	test2		ADDR10014	01012345678					
울주군청	기획예산실	기획	test2		ADDR10015	01012345678					
울주군청	기획예산실	기획	test2		ADDR10016	01012345678					
울주군청	기획예산실	기획	test2		ADDR10017	01012345678					
울주군청	기획예산실	기획	test2		ADDR10018	01012345678					
울주군청	기획예산실	기획	test2		ADDR10019	01012345678					
울주군청	기획예산실	기획	test2		ADDR1002	01012345678					
울주군청	기획예산실	기획	test2		ADDR10020	01012345678					
울주군청	기획예산실	기획	test2		ADDR10021	01012345678					
울주군청	기획예산실	기획	test2		ADDR10022	01012345678					
울주군청	기획예산실	기획	test2		ADDR10023	01012345678					
울주군청	기획예산실	기획	test2		ADDR10024	01012345678					
울주군청	기획예산실	기획	test2		ADDR10025	01012345678					
울주군청	기획예산실	기획	test2		ADDR10026	01012345678					
울주군청	기획예산실	기획	test2		ADDR10027	01012345678					
울주군청	기획예산실	기획	test2		ADDR10028	01012345678					
울주군청	기획예산실	기획	test2		ADDR10029	01012345678					
울주군청	기획예산실	기획	test2		ADDR1003	01012345678					
울주군청	기획예산실	기획	test2		ADDR10030	01012345678					
울주군청	기획예산실	기획	test2		ADDR10031	01012345678					
울주군청	기획예산실	기획	test2		ADDR10032	01012345678					
울주군청	기획예산실	기획	test2		ADDR10033	01012345678					
울주군청	기획예산실	기획	test2		ADDR10034	01012345678					
울주군청	기획예산실	기획	test2		ADDR10035	01012345678					
울주군청	기획예산실	기획	test2		ADDR10036	01012345678					
울주군청	기획예산실	기획	test2		ADDR10037	01012345678					
울주군청	기획예산실	기획	test2		ADDR10038	01012345678					
울주군청	기획예산실	기획	test2		ADDR10039	01012345678					
울주군청	기획예산실	기획	test2		ADDR1004	01012345678					
울주군청	기획예산실	기획	test2		ADDR10040	01012345678					
울주군청	기획예산실	기획	test2		ADDR10041	01012345678					
울주군청	기획예산실	기획	test2		ADDR10042	01012345678					
울주군청	기획예산실	기획	test2		ADDR10043	01012345678					
울주군청	기획예산실	기획	test2		ADDR10044	01012345678					
울주군청	기획예산실	기획	test2		ADDR10045	01012345678					
울주군청	기획예산실	기획	test2		ADDR10046	01012345678					
울주군청	기획예산실	기획	test2		ADDR10047	01012345678					
울주군청	기획예산실	기획	test2		ADDR10048	01012345678					
울주군청	기획예산실	기획	test2		ADDR10049	01012345678					
울주군청	기획예산실	기획	test2		ADDR1005	01012345678					
울주군청	기획예산실	기획	test2		ADDR10050	01012345678					
울주군청	기획예산실	기획	test2		ADDR10051	01012345678					
울주군청	기획예산실	기획	test2		ADDR10052	01012345678					
울주군청	기획예산실	기획	test2		ADDR10053	01012345678					
울주군청	기획예산실	기획	test2		ADDR10054	01012345678					
울주군청	기획예산실	기획	test2		ADDR10055	01012345678					
울주군청	기획예산실	기획	test2		ADDR10056	01012345678					
울주군청	기획예산실	기획	test2		ADDR10057	01012345678					
울주군청	기획예산실	기획	test2		ADDR10058	01012345678					
울주군청	기획예산실	기획	test2		ADDR10059	01012345678					
울주군청	기획예산실	기획	test2		ADDR1006	01012345678					
울주군청	기획예산실	기획	test2		ADDR10060	01012345678					
울주군청	기획예산실	기획	test2		ADDR10061	01012345678					
울주군청	기획예산실	기획	test2		ADDR10062	01012345678					
울주군청	기획예산실	기획	test2		ADDR10063	01012345678					
울주군청	기획예산실	기획	test2		ADDR10064	01012345678					
울주군청	기획예산실	기획	test2		ADDR10065	01012345678					
울주군청	기획예산실	기획	test2		ADDR10066	01012345678					
울주군청	기획예산실	기획	test2		ADDR10067	01012345678					
울주군청	기획예산실	기획	test2		ADDR10068	01012345678					
울주군청	기획예산실	기획	test2		ADDR10069	01012345678					
울주군청	기획예산실	기획	test2		ADDR1007	01012345678					
울주군청	기획예산실	기획	test2		ADDR10070	01012345678					
울주군청	기획예산실	기획	test2		ADDR10071	01012345678					
울주군청	기획예산실	기획	test2		ADDR10072	01012345678					
울주군청	기획예산실	기획	test2		ADDR10073	01012345678					
울주군청	기획예산실	기획	test2		ADDR10074	01012345678					
울주군청	기획예산실	기획	test2		ADDR10075	01012345678					
울주군청	기획예산실	기획	test2		ADDR10076	01012345678					
울주군청	기획예산실	기획	test2		ADDR10077	01012345678					
울주군청	기획예산실	기획	test2		ADDR10078	01012345678					
울주군청	기획예산실	기획	test2		ADDR10079	01012345678					
울주군청	기획예산실	기획	test2		ADDR1008	01012345678					
울주군청	기획예산실	기획	test2		ADDR10080	01012345678					
울주군청	기획예산실	기획	test2		ADDR10081	01012345678					
울주군청	기획예산실	기획	test2		ADDR10082	01012345678					
울주군청	기획예산실	기획	test2		ADDR10083	01012345678					
울주군청	기획예산실	기획	test2		ADDR10084	01012345678					
울주군청	기획예산실	기획	test2		ADDR10085	01012345678					
울주군청	기획예산실	기획	test2		ADDR10086	01012345678					
울주군청	기획예산실	기획	test2		ADDR10087	01012345678					
울주군청	기획예산실	기획	test2		ADDR10088	01012345678					
울주군청	기획예산실	기획	test2		ADDR10089	01012345678					
울주군청	기획예산실	기획	test2		ADDR1009	01012345678					
울주군청	기획예산실	기획	test2		ADDR10090	01012345678					
울주군청	기획예산실	기획	test2		ADDR10091	01012345678					
울주군청	기획예산실	기획	test2		ADDR10092	01012345678					
울주군청	기획예산실	기획	test2		ADDR10093	01012345678					
울주군청	기획예산실	기획	test2		ADDR10094	01012345678					
울주군청	기획예산실	기획	test2		ADDR10095	01012345678					
울주군청	기획예산실	기획	test2		ADDR10096	01012345678					
울주군청	기획예산실	기획	test2		ADDR10097	01012345678					
울주군청	기획예산실	기획	test2		ADDR10098	01012345678					
울주군청	기획예산실	기획	test2		ADDR10099	01012345678					
울주군청	기획예산실	기획	test2		ADDR101	01012345678					
울주군청	기획예산실	기획	test2		ADDR1010	01012345678					
울주군청	기획예산실	기획	test2		ADDR10100	01012345678					
